text,category,source
Requesting immediate action: Municipal council taking too long for garbage pickup,Service Delay,synthetic
Urgent: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
There is a problem in our colony. Sexual harassment by senior officer in the department,Harassment,synthetic
Complaint regarding: Denial of promotion due to personal grudge,Harassment,synthetic
Issue: Bounced check from government department Please help.,Financial Issue,synthetic
I am facing a major issue. Methane leak from neighborhood landfill,Utility Issue,synthetic
Serious problem: Threatened by landlord who is a government servant,Harassment,synthetic
Requesting immediate action: Missing child case handled poorly,Law Enforcement Issue,synthetic
Serious problem: Mental torture by management,Harassment,synthetic
Complaint regarding: Incorrect tax assessment on my property,Financial Issue,synthetic
Requesting immediate action: Official at counter says the system is down for a week,Service Delay,synthetic
Issue: Emergency response delayed despite multiple calls Please help.,Law Enforcement Issue,synthetic
Urgent: Local leader using thugs to grab my ancestor's land,Harassment,synthetic
Complaint regarding: Inappropriate physical contact during work,Harassment,synthetic
I am facing a major issue. Public land sold illegally by corrupted officials,Corruption,synthetic
I am facing a major issue. Doctor at government hospital asking for money for treatment,Corruption,synthetic
Complaint regarding: Methane leak from neighborhood landfill,Utility Issue,synthetic
Serious problem: Contaminated water coming from public pump,Utility Issue,synthetic
Issue: Pension not credited to account for three months Please help.,Financial Issue,synthetic
Requesting immediate action: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
Officer taking money to hide illegal construction,Corruption,synthetic
Serious problem: Bribe requested for passport verification,Corruption,synthetic
Issue: Failure to investigate suspicious death in my lane Please help.,Law Enforcement Issue,synthetic
There is a problem in our colony. Bounced check from government department,Financial Issue,synthetic
"Dear Sir, Hostile work environment due to constant criticism",Harassment,synthetic
Fraudulent billing by government contractor,Corruption,synthetic
I want to report: Stray cattle causing traffic issues on main road,Utility Issue,synthetic
"Dear Sir, Freedom fighter pension application hasn't moved for a year",Service Delay,synthetic
There is a problem in our colony. Poor road conditions with multiple potholes,Utility Issue,synthetic
Serious problem: Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
Complaint regarding: Double billing for water supply,Financial Issue,synthetic
Urgent: Bullying and intimidation by colleagues,Harassment,synthetic
I want to report: Wrongful arrest based on false information,Law Enforcement Issue,synthetic
I am facing a major issue. Utility connection request pending for months,Service Delay,synthetic
Complaint regarding: Loud noise from illegal factory in residential zone,Utility Issue,synthetic
Serious problem: Bribe requested for passport verification,Corruption,synthetic
"Dear Sir, Building permit application pending for a year",Service Delay,synthetic
I am facing a major issue. Public land sold illegally by corrupted officials,Corruption,synthetic
"Dear Sir, Wrongful arrest based on false information",Law Enforcement Issue,synthetic
I want to report: School principal asking for donation for admission,Corruption,synthetic
"Dear Sir, Zoning laws violated after payment to official",Corruption,synthetic
I want to report: Building permit application pending for a year,Service Delay,synthetic
There is a problem in our colony. Funds allocated for school being stolen by officials,Corruption,synthetic
I want to report: Zoning laws violated after payment to official,Corruption,synthetic
"Dear Sir, Building permit application pending for a year",Service Delay,synthetic
Serious problem: Aadhar card update pending for weeks,Service Delay,synthetic
I am facing a major issue. Incorrect tax assessment on my property,Financial Issue,synthetic
There is a problem in our colony. Student grant money never arrived in bank,Financial Issue,synthetic
There is a problem in our colony. Bank teller stole money from my fixed deposit,Financial Issue,synthetic
Issue: Insurance claim rejected without valid reason Please help.,Financial Issue,synthetic
Aadhar card update pending for weeks,Service Delay,synthetic
There is a problem in our colony. Corruption within the police department,Law Enforcement Issue,synthetic
Issue: Open manhole on the sidewalk is dangerous Please help.,Utility Issue,synthetic
Requesting immediate action: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic
I am facing a major issue. Persistent harassment from neighbor with police ties,Harassment,synthetic
Requesting immediate action: Service tax charged after it was abolished,Financial Issue,synthetic
Serious problem: Sewer lines are choked and backing up into basements,Utility Issue,synthetic
"Dear Sir, Voter list manipulation by election officers",Corruption,synthetic
Complaint regarding: Garbage bin overflowing in public park,Utility Issue,synthetic
Requesting immediate action: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
I am facing a major issue. Birth certificate not issued despite multiple visits,Service Delay,synthetic
I am facing a major issue. Illegal gambling den running with local police support,Law Enforcement Issue,synthetic
Urgent: Malfunctioning traffic lights at main crossing,Utility Issue,synthetic
Requesting immediate action: Tree branches touching transformers causing sparks,Utility Issue,synthetic
I am facing a major issue. Officer asked for money under the table to clear my file,Corruption,synthetic
Requesting immediate action: Cyberbullying by colleagues on social media groups,Harassment,synthetic
Requesting immediate action: Harassed by inspector during routine check,Harassment,synthetic
Police harassment during peaceful protest,Law Enforcement Issue,synthetic
Urgent: Toxic waste being dumped into the local pond,Utility Issue,synthetic
Requesting immediate action: Waiting for approval of hospital bill reimbursement,Service Delay,synthetic
Complaint regarding: Unfair interest rate on government loan,Financial Issue,synthetic
I want to report: No security provided despite threat to life,Law Enforcement Issue,synthetic
I am facing a major issue. Inappropriate physical contact during work,Harassment,synthetic
Complaint regarding: Electricity department worker asking for money to fix transformer,Corruption,synthetic
Drug dealing in front of police station,Law Enforcement Issue,synthetic
Serious problem: Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
Urgent: Traffic sergeant demanding money for no reason,Corruption,synthetic
Serious problem: Police not registering FIR for theft complaint,Law Enforcement Issue,synthetic
Issue: Illegal activities in neighborhood ignored by police Please help.,Law Enforcement Issue,synthetic
Issue: Police officer using abusive language with citizens Please help.,Law Enforcement Issue,synthetic
Issue: Security clearance for employment is taking forever Please help.,Service Delay,synthetic
Serious problem: Account hacked and money stolen,Financial Issue,synthetic
"Dear Sir, Bank refusing to process my loan application",Financial Issue,synthetic
Complaint regarding: Hit and run case not being investigated properly,Law Enforcement Issue,synthetic
I am facing a major issue. Failure to report crime by officer,Law Enforcement Issue,synthetic
Overcharged on electricity bill this month,Financial Issue,synthetic
Requesting immediate action: Property registration delayed without explanation,Service Delay,synthetic
Customs officer asking for illegal fee,Corruption,synthetic
Online harassment by government employee,Harassment,synthetic
I am facing a major issue. Failure to serve court summons,Law Enforcement Issue,synthetic
Complaint regarding: Doctor at government hospital asking for money for treatment,Corruption,synthetic
I want to report: Failure to pay contract workers on time,Financial Issue,synthetic
Serious problem: Supervisor making inappropriate comments at workplace,Harassment,synthetic
There is a problem in our colony. Illegal activities in neighborhood ignored by police,Law Enforcement Issue,synthetic
I am facing a major issue. Double billing for water supply,Financial Issue,synthetic
Serious problem: Subsidies promised are not reaching my account,Financial Issue,synthetic
Issue: Insurance claim rejected without valid reason Please help.,Financial Issue,synthetic
There is a problem in our colony. Corruption within the police department,Law Enforcement Issue,synthetic
Complaint regarding: Corruption in local council office,Corruption,synthetic
There is a problem in our colony. Pension not credited to account for three months,Financial Issue,synthetic
Complaint regarding: Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Requesting immediate action: Property registration delayed without explanation,Service Delay,synthetic
I want to report: Official accepted bribe to overlook violations,Corruption,synthetic
"Dear Sir, Street sweepers never come to our lane",Utility Issue,synthetic
Serious problem: Account hacked and money stolen,Financial Issue,synthetic
I want to report: GST calculation error on business taxes,Financial Issue,synthetic
Issue: Pension officer claiming files are lost unless I pay him Please help.,Corruption,synthetic
I want to report: File moving too slowly between departments,Service Delay,synthetic
Requesting immediate action: Municipal council taking too long for garbage pickup,Service Delay,synthetic
Urgent: Gender-based violence ignored by supervisor,Harassment,synthetic
"Dear Sir, Trade license renewal taking forever",Service Delay,synthetic
Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic
Requesting immediate action: Provident fund withdrawal stuck in system,Financial Issue,synthetic
Complaint regarding: Facing threats from local goons with political connections,Harassment,synthetic
Requesting immediate action: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
Issue: Police officer asking for bribe to release vehicle Please help.,Corruption,synthetic
I want to report: Government employee asking for extra money for service,Corruption,synthetic
Issue: Driving license renewal taking too long Please help.,Service Delay,synthetic
There is a problem in our colony. Domestic abuse reported but no police arrival,Law Enforcement Issue,synthetic
I am facing a major issue. Drainage blocked causing flooding during rain,Utility Issue,synthetic
Urgent: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic
There is a problem in our colony. Discriminatory behavior by school staff,Harassment,synthetic
"Dear Sir, Cyber crime department not taking my case seriously",Law Enforcement Issue,synthetic
Complaint regarding: Loud noise from illegal factory in residential zone,Utility Issue,synthetic
There is a problem in our colony. Favoritism shown in awarding government contracts,Corruption,synthetic
Requesting immediate action: Traffic sergeant demanding money for no reason,Corruption,synthetic
"Dear Sir, Contractor paid kickback to get the tender approved",Corruption,synthetic
Complaint regarding: Long waiting list for government surgery,Service Delay,synthetic
I want to report: Public shaming by official for small error,Harassment,synthetic
Issue: Illegal dumping of waste in residential area Please help.,Utility Issue,synthetic
Issue: Dust pollution from construction site without covers Please help.,Utility Issue,synthetic
"Dear Sir, Drought relief fund not distributed correctly",Financial Issue,synthetic
There is a problem in our colony. Domestic abuse reported but no police arrival,Law Enforcement Issue,synthetic
Account hacked and money stolen,Financial Issue,synthetic
I want to report: Call center for grievances never picks up the phone,Service Delay,synthetic
Issue: Discriminatory behavior by school staff Please help.,Harassment,synthetic
Urgent: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic
Serious problem: Police harassment during peaceful protest,Law Enforcement Issue,synthetic
Complaint regarding: Public tap is broken and wasting tons of water,Utility Issue,synthetic
Online harassment by government employee,Harassment,synthetic
I am facing a major issue. Public tap is broken and wasting tons of water,Utility Issue,synthetic
Requesting immediate action: Provident fund withdrawal stuck in system,Financial Issue,synthetic
Urgent: Health card issuance delayed,Service Delay,synthetic
Bribe requested for passport verification,Corruption,synthetic
Serious problem: Refund not processed for cancelled service,Financial Issue,synthetic
Complaint regarding: Birth certificate not issued despite multiple visits,Service Delay,synthetic
Complaint regarding: Unfair interest rate on government loan,Financial Issue,synthetic
I am facing a major issue. Unfair interest rate on government loan,Financial Issue,synthetic
There is a problem in our colony. Sexual harassment by senior officer in the department,Harassment,synthetic
Verbal abuse from government official during visit,Harassment,synthetic
Requesting immediate action: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
Complaint regarding: Traffic police demanding illegal fine,Law Enforcement Issue,synthetic
Aadhar card update pending for weeks,Service Delay,synthetic
Requesting immediate action: Bullying and intimidation by colleagues,Harassment,synthetic
Serious problem: Public fund diverted for private functions,Financial Issue,synthetic
There is a problem in our colony. Unexplained fees for government services,Financial Issue,synthetic
There is a problem in our colony. Delay in response from fire department,Service Delay,synthetic
Requesting immediate action: Fraudulent transaction on debit card,Financial Issue,synthetic
Verbal abuse from government official during visit,Harassment,synthetic
Drug dealing in front of police station,Law Enforcement Issue,synthetic
I am facing a major issue. Embezzlement of funds meant for welfare scheme,Corruption,synthetic
"Dear Sir, Official accepted bribe to overlook violations",Corruption,synthetic
Urgent: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic
Complaint regarding: Discrepancy in pension payments,Financial Issue,synthetic
Serious problem: Water pipeline leaking causing road damage,Utility Issue,synthetic
Complaint regarding: Birth certificate not issued despite multiple visits,Service Delay,synthetic
I want to report: Drought relief fund not distributed correctly,Financial Issue,synthetic
Urgent: Provident fund withdrawal stuck in system,Financial Issue,synthetic
Urgent: Inadequate security for public events,Law Enforcement Issue,synthetic
Requesting immediate action: Gender-based violence ignored by supervisor,Harassment,synthetic
Issue: Name correction in school records is taking ages Please help.,Service Delay,synthetic
"Dear Sir, Government employee asking for extra money for service",Corruption,synthetic
There is a problem in our colony. Facing discrimination due to my gender,Harassment,synthetic
Issue: Nepotism in hiring at the municipal office Please help.,Corruption,synthetic
I want to report: Stalking and intimidation at workplace,Harassment,synthetic
I want to report: Hidden fees charged without disclosure,Financial Issue,synthetic
I am facing a major issue. Doctor at government hospital asking for money for treatment,Corruption,synthetic
Issue: Salary delayed for three months Please help.,Financial Issue,synthetic
Requesting immediate action: Gas supply interrupted without any notice,Utility Issue,synthetic
Issue: Broken street sign causing confusion Please help.,Utility Issue,synthetic
There is a problem in our colony. Traffic laws not enforced on high-speed road,Law Enforcement Issue,synthetic
Passport application pending for over six months,Service Delay,synthetic
Complaint regarding: Public land sold illegally by corrupted officials,Corruption,synthetic
Complaint regarding: Sewage overflow on the main road near our house,Utility Issue,synthetic
Serious problem: Overcharged on electricity bill this month,Financial Issue,synthetic
"Dear Sir, High voltage causing damage to appliances",Utility Issue,synthetic
Requesting immediate action: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic
Urgent: Gas supply interrupted without any notice,Utility Issue,synthetic
Urgent: Fraudulent transaction on debit card,Financial Issue,synthetic
Requesting immediate action: Street flooding after every minor rain,Utility Issue,synthetic
I want to report: Hostile work environment due to constant criticism,Harassment,synthetic
I want to report: Contractor paid kickback to get the tender approved,Corruption,synthetic
Complaint regarding: Embezzlement of funds meant for welfare scheme,Corruption,synthetic
There is a problem in our colony. Public servants mocking my disability,Harassment,synthetic
I want to report: Stock market fraud affecting my savings,Financial Issue,synthetic
There is a problem in our colony. Illegal activities in neighborhood ignored by police,Law Enforcement Issue,synthetic
I want to report: Building permit application pending for a year,Service Delay,synthetic
Issue: Public servants mocking my disability Please help.,Harassment,synthetic
"Dear Sir, Police taking sides in property dispute",Law Enforcement Issue,synthetic
I am facing a major issue. Garbage bin overflowing in public park,Utility Issue,synthetic
There is a problem in our colony. Religious discrimination in public service,Harassment,synthetic
Requesting immediate action: Bullying and intimidation by colleagues,Harassment,synthetic
Complaint regarding: Audit of the society reveals missing 5 million,Financial Issue,synthetic
I am facing a major issue. Denial of promotion due to personal grudge,Harassment,synthetic
Complaint regarding: Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic
I want to report: No lady constable present during my arrest at night,Law Enforcement Issue,synthetic
"Dear Sir, No action against repeated domestic violence",Law Enforcement Issue,synthetic
Serious problem: Harassment of small business owners by officials,Harassment,synthetic
Serious problem: Online harassment by government employee,Harassment,synthetic
Complaint regarding: Lack of police patrolling at night,Law Enforcement Issue,synthetic
"Dear Sir, Marriage certificate registration pending",Service Delay,synthetic
I want to report: Stalking and intimidation at workplace,Harassment,synthetic
I am facing a major issue. Birth certificate not issued despite multiple visits,Service Delay,synthetic
Urgent: Municipal council taking too long for garbage pickup,Service Delay,synthetic
Requesting immediate action: Missing child case handled poorly,Law Enforcement Issue,synthetic
Passport application pending for over six months,Service Delay,synthetic
There is a problem in our colony. Facing discrimination due to my gender,Harassment,synthetic
Requesting immediate action: Criminal roaming free despite evidence,Law Enforcement Issue,synthetic
Urgent: Health card issuance delayed,Service Delay,synthetic
Serious problem: Funds for poor people were stolen by local representative,Corruption,synthetic
Illegal weapons found but no investigation,Law Enforcement Issue,synthetic
Issue: No feedback on previous complaints for weeks Please help.,Service Delay,synthetic
Complaint regarding: Facing threats from local goons with political connections,Harassment,synthetic
Issue: Bank teller stole money from my fixed deposit Please help.,Financial Issue,synthetic
I want to report: Failure to pay contract workers on time,Financial Issue,synthetic
There is a problem in our colony. Emergency response delayed despite multiple calls,Law Enforcement Issue,synthetic
"Dear Sir, Electricity meter showing wrong readings",Utility Issue,synthetic
Complaint regarding: Methane leak from neighborhood landfill,Utility Issue,synthetic
Urgent: Abuse of authority to target personal enemies,Harassment,synthetic
Overcharged on electricity bill this month,Financial Issue,synthetic
I am facing a major issue. Dead animals lying on the street not removed,Utility Issue,synthetic
"Dear Sir, Mental health issues caused by toxic workspace",Harassment,synthetic
Requesting immediate action: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic
There is a problem in our colony. Police officer using abusive language with citizens,Law Enforcement Issue,synthetic
Complaint regarding: Threatened with termination for filing complaint,Harassment,synthetic
Complaint regarding: Casteist slurs used against me in office,Harassment,synthetic
Hidden charges in bank statement,Financial Issue,synthetic
Serious problem: Harassment of small business owners by officials,Harassment,synthetic
Issue: Religious discrimination in public service Please help.,Harassment,synthetic
There is a problem in our colony. Officer demanding percentage of my contract payment,Corruption,synthetic
Urgent: Unauthorized deductions from my salary,Financial Issue,synthetic
"Dear Sir, Building permit application pending for a year",Service Delay,synthetic
Complaint regarding: Portal is showing processing for the last 90 days,Service Delay,synthetic
I want to report: No action against repeated domestic violence,Law Enforcement Issue,synthetic
"Dear Sir, Police taking sides in property dispute",Law Enforcement Issue,synthetic
Requesting immediate action: Embezzlement detection in local branch,Financial Issue,synthetic
Requesting immediate action: Bullying and intimidation by colleagues,Harassment,synthetic
No water supply in our area for the past three days,Utility Issue,synthetic
Urgent: Illegal sand mining allowed after paying minor officials,Corruption,synthetic
I want to report: Illegal search and seizure without warrant,Law Enforcement Issue,synthetic
Fraudulent billing by government contractor,Corruption,synthetic
I am facing a major issue. Failure to report crime by officer,Law Enforcement Issue,synthetic
Water tank is never cleaned and full of moss,Utility Issue,synthetic
There is a problem in our colony. Streetlights not working in our colony for weeks,Utility Issue,synthetic
There is a problem in our colony. Illegal dumping of waste in residential area,Utility Issue,synthetic
There is a problem in our colony. Delay in response from fire department,Service Delay,synthetic
I want to report: Low water pressure making it hard to use,Utility Issue,synthetic
Complaint regarding: Long waiting list for government surgery,Service Delay,synthetic
"Dear Sir, Illegal search and seizure without warrant",Law Enforcement Issue,synthetic
I am facing a major issue. Casteist slurs used against me in office,Harassment,synthetic
No update on application for housing scheme,Service Delay,synthetic
Urgent: Illegal sand mining allowed after paying minor officials,Corruption,synthetic
Urgent: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
Urgent: My stolen phone was tracked but police wont go there,Law Enforcement Issue,synthetic
Complaint regarding: Application lost in transit between offices,Service Delay,synthetic
Requesting immediate action: Garbage not collected from our street regularly,Utility Issue,synthetic
I am facing a major issue. Corruption in local council office,Corruption,synthetic
Issue: Discriminatory behavior by school staff Please help.,Harassment,synthetic
"Dear Sir, Low water pressure making it hard to use",Utility Issue,synthetic
I want to report: Public shaming by official for small error,Harassment,synthetic
"Dear Sir, No security provided despite threat to life",Law Enforcement Issue,synthetic
There is a problem in our colony. Insurance claim rejected without valid reason,Financial Issue,synthetic
I am facing a major issue. Loud noise from illegal factory in residential zone,Utility Issue,synthetic
Requesting immediate action: Forced into overtime without pay through threats,Harassment,synthetic
Serious problem: Sewer lines are choked and backing up into basements,Utility Issue,synthetic
"Dear Sir, Illegal search and seizure without warrant",Law Enforcement Issue,synthetic
Serious problem: Inordinate delay in processing industrial permit,Service Delay,synthetic
Serious problem: Incorrect income tax refund amount,Financial Issue,synthetic
Requesting immediate action: Toxic waste being dumped into the local pond,Utility Issue,synthetic
Serious problem: Hidden charges in bank statement,Financial Issue,synthetic
I want to report: Frequent power outages affecting our neighborhood,Utility Issue,synthetic
I want to report: Tax inspector demanding bribe to reduce assessment,Corruption,synthetic
Requesting immediate action: Gender-based violence ignored by supervisor,Harassment,synthetic
I want to report: No response to RTI application filed three months ago,Service Delay,synthetic
Complaint regarding: Refusal of leave for genuine medical emergency as punishment,Harassment,synthetic
Requesting immediate action: Missing child case handled poorly,Law Enforcement Issue,synthetic
Serious problem: Death certificate application is stuck for 40 days,Service Delay,synthetic
I want to report: Police taking sides in property dispute,Law Enforcement Issue,synthetic
Serious problem: Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic
Urgent: Police vehicle used for personal errands while calls pending,Law Enforcement Issue,synthetic
Serious problem: Water pipeline leaking causing road damage,Utility Issue,synthetic
Urgent: Irrigation water diverted to big farms through bribery,Corruption,synthetic
Serious problem: Supervisor making inappropriate comments at workplace,Harassment,synthetic
There is a problem in our colony. Driving license renewal taking too long,Service Delay,synthetic
Issue: Illegal activities in neighborhood ignored by police Please help.,Law Enforcement Issue,synthetic
I want to report: Tax inspector demanding bribe to reduce assessment,Corruption,synthetic
I am facing a major issue. Crop insurance premium deducted but claim not paid,Financial Issue,synthetic
Urgent: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
"Dear Sir, Discriminated against based on my caste",Harassment,synthetic
I want to report: Electricity meter showing wrong readings,Utility Issue,synthetic
Issue: Funds allocated for school being stolen by officials Please help.,Corruption,synthetic
Serious problem: Water smells like chemicals in our taps,Utility Issue,synthetic
Supervisor making inappropriate comments at workplace,Harassment,synthetic
I am facing a major issue. Garbage bin overflowing in public park,Utility Issue,synthetic
"Dear Sir, Voter list manipulation by election officers",Corruption,synthetic
Refund not processed for cancelled service,Financial Issue,synthetic
Customs officer asking for illegal fee,Corruption,synthetic
"Dear Sir, Stalking and intimidation at workplace",Harassment,synthetic
Urgent: Witness intimidation not handled by police,Law Enforcement Issue,synthetic
I want to report: Fake accounts used to siphon off welfare money,Financial Issue,synthetic
Complaint regarding: Application lost in transit between offices,Service Delay,synthetic
Assault victim being pressurized to reach a settlement,Law Enforcement Issue,synthetic
"Dear Sir, Public shaming by official for small error",Harassment,synthetic
I am facing a major issue. Audit findings show financial discrepancy,Financial Issue,synthetic
Requesting immediate action: Fake vouchers submitted for government travel reimbursement,Corruption,synthetic
Serious problem: Overcharged on electricity bill this month,Financial Issue,synthetic
Requesting immediate action: Local leader using thugs to grab my ancestor's land,Harassment,synthetic
Pension papers stuck in bureaucratic process,Service Delay,synthetic
Complaint regarding: Lack of police patrolling at night,Law Enforcement Issue,synthetic
Urgent: Property registration delayed without explanation,Service Delay,synthetic
"Dear Sir, Failure to pay contract workers on time",Financial Issue,synthetic
I am facing a major issue. Threatened with termination for filing complaint,Harassment,synthetic
Complaint regarding: Methane leak from neighborhood landfill,Utility Issue,synthetic
I want to report: Tax inspector demanding bribe to reduce assessment,Corruption,synthetic
Requesting immediate action: Bureaucratic hurdles in simple document verification,Service Delay,synthetic
"Dear Sir, Electricity meter showing wrong readings",Utility Issue,synthetic
Serious problem: Incorrect income tax refund amount,Financial Issue,synthetic
Serious problem: Water smells like chemicals in our taps,Utility Issue,synthetic
Serious problem: Refund not processed for cancelled service,Financial Issue,synthetic
Issue: Streetlights not working in our colony for weeks Please help.,Utility Issue,synthetic
Requesting immediate action: Local leader using thugs to grab my ancestor's land,Harassment,synthetic
Funds for poor people were stolen by local representative,Corruption,synthetic
I want to report: Bank refusing to process my loan application,Financial Issue,synthetic
Issue: Traffic laws not enforced on high-speed road Please help.,Law Enforcement Issue,synthetic
I am facing a major issue. Public land sold illegally by corrupted officials,Corruption,synthetic
Sewer lines are choked and backing up into basements,Utility Issue,synthetic
"Dear Sir, Call center for grievances never picks up the phone",Service Delay,synthetic
I want to report: Zoning laws violated after payment to official,Corruption,synthetic
Urgent: Safety concerns at public place not addressed,Law Enforcement Issue,synthetic
Serious problem: Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic
Thieves broke in but police said it was a small matter,Law Enforcement Issue,synthetic
Subsidies promised are not reaching my account,Financial Issue,synthetic
"Dear Sir, Police taking sides in property dispute",Law Enforcement Issue,synthetic
